,Date,Score,Total price difference,Percentage price difference,Price increase,Price decrease
0,2008-01-02,-0.5221081972122192,0.0,0.0,0.0,0.0
1,2008-01-03,0.8616266250610352,0.0,0.0,0.0,0.0
2,2008-01-07,0.5865665078163147,-30.980000000000018,-2.1407446308632094,0.0,1.0
3,2008-01-09,-0.42169612646102905,-7.0499999999999545,-0.4978180739736442,0.0,1.0
4,2008-01-10,0.542340874671936,11.199999999999818,0.7948166599249052,1.0,0.0
5,2008-01-22,-0.6024330854415894,-109.82999999999993,-7.732710004013148,0.0,1.0
6,2008-01-29,-0.7666232585906982,51.799999999999955,3.952689813048451,1.0,0.0
7,2008-01-30,0.0,-6.490000000000009,-0.47640020553475804,0.0,1.0
8,2008-02-01,0.0,39.61000000000013,2.921500800259633,1.0,0.0
9,2008-02-05,-0.3080311417579651,-58.77999999999997,-4.212351836722992,0.0,1.0
10,2008-02-11,-0.8901388943195343,2.490000000000009,0.1862880057457512,1.0,0.0
11,2008-02-21,0.0,3.3999999999998636,0.2538961863299204,1.0,0.0
12,2008-02-22,-0.44738250970840454,10.579999999999927,0.7880643263092763,1.0,0.0
13,2008-02-28,0.0,14.570000000000164,1.0767786802255666,1.0,0.0
14,2008-02-29,-0.9474233984947205,-37.049999999999955,-2.7089670098268566,0.0,1.0
15,2008-03-05,0.0,3.0699999999999363,0.23071778029955256,1.0,0.0
16,2008-03-07,-0.48535066843032837,-40.330000000000155,-3.0239184224338422,0.0,1.0
17,2008-03-10,-0.968096137046814,-20.0,-1.5463479128169049,0.0,1.0
18,2008-03-11,0.5338114500045776,47.2800000000002,3.712982086903273,1.0,0.0
19,2008-03-18,-0.5890741348266602,10.089999999999918,0.7640177185476786,1.0,0.0
20,2008-03-27,-0.9592165946960449,-4.980000000000018,-0.37422787321340145,0.0,1.0
21,2008-04-02,-0.9712823033332825,41.76999999999998,3.1506456673907786,1.0,0.0
22,2008-04-07,0.0,5.009999999999991,0.36635393739076955,1.0,0.0
23,2008-04-16,0.3336756229400635,-7.829999999999927,-0.5704751774083033,0.0,1.0
24,2008-04-22,0.0,11.230000000000018,0.8228854481904593,1.0,0.0
25,2008-04-23,-0.6448155641555786,3.990000000000009,0.2899835748651837,1.0,0.0
26,2008-04-24,-0.957134485244751,8.889999999999873,0.6442355771669485,1.0,0.0
27,2008-04-25,0.0,9.019999999999982,0.6494722138218043,1.0,0.0
28,2008-05-05,0.0,9.650000000000091,0.6903508269902201,1.0,0.0
29,2008-05-06,0.8174104690551758,10.769999999999982,0.7651919374205132,1.0,0.0
30,2008-05-07,-0.9561598300933838,-25.690000000000055,-1.8113745011492994,0.0,1.0
31,2008-05-08,-0.9680330753326416,5.110000000000127,0.36694744249841144,1.0,0.0
32,2008-05-12,0.2633354663848877,5.899999999999864,0.4221280979909467,1.0,0.0
33,2008-05-16,-0.907511293888092,21.769999999999982,1.5510337850354083,1.0,0.0
34,2008-05-21,0.0,-34.63999999999987,-2.4302802820359823,0.0,1.0
35,2008-05-23,0.0,-14.779999999999973,-1.0627665005644578,0.0,1.0
36,2008-05-27,0.0,9.419999999999845,0.684627851707561,1.0,0.0
37,2008-05-29,-0.9027257561683655,12.910000000000082,0.9318944671021823,1.0,0.0
38,2008-06-02,-0.9575709700584412,-12.589999999999918,-0.9004047888089425,0.0,1.0
39,2008-06-04,-0.016932696104049683,-8.470000000000027,-0.6112566484083531,0.0,1.0
40,2008-06-05,0.0,26.84999999999991,1.9496079000871267,1.0,0.0
41,2008-06-09,-0.4814242720603943,-42.289999999999964,-3.012000997115485,0.0,1.0
42,2008-06-13,-0.8085640668869019,-1.7300000000000182,-0.1270414757372825,0.0,1.0
43,2008-06-20,-0.9387474656105042,-42.09999999999991,-3.095519951765763,0.0,1.0
44,2008-06-24,0.0,-3.6400000000001,-0.2761906929806666,0.0,1.0
45,2008-07-01,-0.9238636493682861,-29.37999999999988,-2.235427493171209,0.0,1.0
46,2008-07-02,-0.4859488308429718,-23.3900000000001,-1.820360959133332,0.0,1.0
47,2008-07-07,0.0,-9.210000000000036,-0.7300716595852652,0.0,1.0
48,2008-07-09,-0.9516121745109558,-7.619999999999891,-0.6084755372072324,0.0,1.0
49,2008-07-14,0.0,-16.3900000000001,-1.3167937398067069,0.0,1.0
50,2008-07-23,0.0,53.8900000000001,4.387364650329732,1.0,0.0
51,2008-07-29,0.8847357630729675,-18.99000000000001,-1.4810597493351225,0.0,1.0
52,2008-07-31,-0.6515965461730957,4.180000000000064,0.33090563647878907,1.0,0.0
53,2008-08-01,0.7736923694610596,-7.070000000000164,-0.5578437406302895,0.0,1.0
54,2008-08-04,0.0,-11.299999999999955,-0.8966048035800679,0.0,1.0
55,2008-08-08,0.0,47.309999999999945,3.787799937550536,1.0,0.0
56,2008-08-13,-0.9489952921867371,-10.490000000000009,-0.8092137743766978,0.0,1.0
57,2008-08-14,0.8654046654701233,7.100000000000136,0.5521725266948304,1.0,0.0
58,2008-08-19,0.0,-26.24000000000001,-2.0294988901177953,0.0,1.0
59,2008-08-26,0.44536852836608887,4.819999999999936,0.3805193062233014,1.0,0.0
60,2008-08-27,0.0,10.150000000000091,0.7982634820017216,1.0,0.0
61,2008-08-28,0.0,19.019999999999982,1.4840129207434094,1.0,0.0
62,2008-09-03,-0.9591954350471497,-25.700000000000045,-1.975889534704927,0.0,1.0
63,2008-09-09,0.0,-50.47000000000003,-3.9584934665641835,0.0,1.0
64,2008-09-10,0.0,7.529999999999973,0.6149398534924151,1.0,0.0
